location,location_normalized,username,date,rating,text,text_en,business_response,source,filename
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-30,5,Обожаем Вашу кухню и персонал который обслуживает .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-29,4,"Мария ОЧЕНЬ вежливая! Спасибо, всё было вкусно!!!",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-29,5,"Вкусно, душевно. Спасибо",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-29,4,Лапша том ям была суховата.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-29,5,Все супер! Желаем процветания!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-28,5,"Спасибо большое за приятный ланч, и за приятный сервис. Привет из СПб",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-27,4,Класс.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-26,5,"Дважды в год езжу к вам из екб, вы просто офигенные <3",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-23,5,За красивые глазки😜.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-23,5,Всё очень понравилось .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-22,4,"Приятное и быстрое обслуживание, еда вообще бомба!!",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-22,5,"Всё очень понравилось,еда вкусная,сытная, обслуживание хорошее 🤗 Огромное спасибо Команде 👏👏👏.",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-20,5,Вы мой любимый официант.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Сергей Беляев,2025-03-20,5,Как всегда вкусная еда и приятное обслуживание 🙌🏼,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Валерия Осиевская,2025-03-18,5,"Отличное место. Несмотря на свою маленькость бистро очень уютное, комфортное обслуживание. Есть натуральные лакомства для ваших питомцев",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-18,5,"вы милашкаааr, спасибо, всё было очень вкусно! 🦭",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-18,5,"Милая приятная девушка, всё было вкусно",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-18,5,Чудесный официант 🌸.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-17,5,Все вкусно!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-16,5,Приятное место с вкусной едой!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Никита Терентьев,2025-03-16,5,"Вкусноооооо! Но, есть один маленький нюанс до которого я докопался. Микрозелень заветренная(уставшая). И смотрится это не очень.",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-15,5,я ваша фанатка.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-15,5,Спасибочки .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-15,5,Хороший официант.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-14,5,спасибо большое! вкусно как всегда!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-12,5,Всё было вкусно и сытно.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-12,5,"Всё идеально, как всегда🔥.",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Вероника Смирнова,2025-03-12,5,"♥️♥️♥️♥️♥️♥️просто в самое сердечко, и атмосфера, и красиво, и вкусно",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-11,4,"Классный оболочек, бро👀",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-11,4,Приятное и быстрое обслуживание.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-11,4,"Сергей, самый милый официант, которого я встречала за долгое время
Такая булка, спасибо",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-10,5,"Увеличить зал и стульчики пониже, а так все замечательно",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-08,2,"Пожалуйста, научите своих сотрудников вежливости .",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Кирилл Е.,2025-03-08,3,"Все вкусно. Рис лучший в городе. Но, кто то из посетителей уронил с вешалки мой бежевый пуховик. Под вешалкой лужа.",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-07,5,Официант-зайчик 🐰,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-06,5,"Лучший официант Сергей! Спасибо, очень внимательный! 🥰",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-06,5,Все уже идеально!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-05,4,"Предлагаю внести шум китайской улицы и разговоры на китайском в фоновый шум, для более крутой передачи тематики заведения",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Мария Сидорова,2025-03-05,5,"Очень вкусно, внутри интерьер красивый, персонал вежливый. Особенно вкусные моти, много начинки☺️",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-04,5,"Все очень понравилось, спасибо 💓",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-04,5,"Всё отлично, спасибо !",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Anna Bezmarernikh,2025-03-02,5,Самый вкусный чесночный рис с овощами :),,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-01,5,Отличное обслуживание!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-01,5,Просто лучшие ребятки .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-03-01,5,Спасибо!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Anton Samoilov,2025-03-01,5,ФоБо - огонь! 👍👍👍,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-28,5,"Чуть чуть близко сидят гости, которых сажают напротив))",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-26,5,Прекрасное обслуживание .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-26,4,Ну цены чето жесть подняли)),,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-25,4,"Спасибо, всё было очень вкусно 😋 .",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-24,5,"вы очень милый,спасибо",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-23,4,Все супер!!!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-22,5,"Побольше посадочных мест, а так все гуд❤️",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-22,4,Спасибо 😀.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-22,4,Всё вкусненько ❤️.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-21,5,"Очень понравилось место и официант Сергей. Внимательный и веселый молодой человек, поднял настроение на оставшийся день. Удачи тебе, Сергей!",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-20,5,"Хорошая девушка, отличное заведение. Спасибо 😉",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-17,5,Ты милашк🫂.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-17,5,Вы самые лучшие. Лав 🫶🏻,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-17,5,Как говорит Артем Карисалов - во рту все поженилось! Спасибо за этот восторг от вкусовых сосочков!,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-16,4,Капец как сложно залезть на высокие и жесткие стулья.,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-14,4,Спасибо вам .,,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-14,4,"Спасибо большое за крутой сервис и стабильно вкусный том ям🥰
Печеньки топ.",,,2GIS,2gis-poke.html
Pokeramen,PokeRamen,Гость от «нетмонет»,2025-02-14,5,"Очень сильно понравилось!
Спасибо большое, было очень вкусно🥰",,,2GIS,2gis-poke.html
Парадная,Ryumochnaya Paradnaya,Светлана Лукьянова(Малышкина),сегодня,5,"Могу порекомендовать, всё хорошо",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анастасия Шипчина,2025-10-31,5,"Замечательные сотрудники, атмосфера, напитки, советую к посещению 🫶🏻",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-10-21,5,Всë супер. Очень вкусно!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-10-16,5,"Всегда лучшие, спасибо!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,имя фамилия,2025-10-10,1,Очень грубые официанты. Обсосанные туалеты на которые вонючие без сидушек. Коктейли есть и вкуснее. Громкая музыка не пообщаться,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-10-04,5,"Вежливость сотрудников, приятное общение, хорошее музыкальное сопровождение",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Kseniya Starkova,2025-10-03,5,"Атмосферное заведение, вкусные наливки и приветливый персонал.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-09-25,5,Дружелюбный персонал.,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-09-21,5,Бармен Антон.,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-09-14,5,"Коктейли вкусные, тартар на хлебе это такое себе, камамбер был ок",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-09-11,5,Александра суперски обслужила :),,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-08-27,5,"Красивые официантки, качественное обслуживание и вкусная еда .",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Дарья Дмитриева,2025-08-22,5,Официант Арина на летнике - супер ! Лучшая в этом баре и нашей жизни ❤️,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-08-19,5,"Официантка супер! Напитки огонь, все понравилось как всегда",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-08-16,5,Внимательное обслуживание .,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Нина Андреева,2025-08-06,5,"Были с компанией, все понравилось, круто отдохнули🔥",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Светлана Абрамец,2025-07-23,5,"Прекрасное место сбежать от уличной суеты, попробовать нечто неожиданное, ощутить атмосферу артхауса! Можно приходить с любимым питомцем. Рекомендую.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Ксения М,2025-07-17,5,"Приятная атмосфера, вежливый персонал
Настойки🔥",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елена Верзун,2025-07-12,5,Вкусные настойки и внимательный персонал,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елена,2025-07-03,5,"Красиво, коктейли, настойки, брускетты вкусные.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-06-21,5,"Лучшее заведение Перми, спасибо за вашу работу от любителей томатки с кордиалом и сырных настоек .",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-06-13,5,"Нам очень понравилось, обязательно вернёмся 💘💕💖.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Anna Bo,2025-06-07,5,"Отличное место, обязательно вернемся сюда снова",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Таня Каменских,2025-05-09,4,Тесновато,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Варвара Дроздова,2025-05-07,5,"Ребята молодцы, крутой сервис, крутые настойки. Одно из первых мест, которое нам предложили посетить в городе, и мы не пожалели 😍",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Виктория Я,2025-05-02,5,"Уютное место с потрясающим интерьером и большим разнообразием вкусных напитков
Вас всегда радушно встретят, всем рекомендую!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Виктория Косякова,2025-05-01,5,"Одни, из самых вкусных настоек и коктейлей. Атмосфера в заведении супер. Обслуживание на высоте. Персонал дружелюбный, и всегда поможет.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Максим Пегушин,2025-05-01,5,"Очень хорошее место , много незамужних молодых девушек)",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Максим Плюснин,2025-04-30,5,"Любимое заведение, очень часто посещаем заведение с друзьями и пьём лучшие настойки в городе! Отзывчивый персонал",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Дарья Онорина,2025-04-30,5,"Частый гость этого места. Приятная обстановка, обслуживание на высоте, коктейли - тоже;) Самое то для хорошего времяпрепровождения в пятничный вечер",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Артём Перетягин,2025-04-30,5,"Лучшее место в городе, самый прекрасный добрый и улыбчивый персонал )",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Надежда Гридюхина,2025-04-30,5,"Классное заведение, приятный персонал, вкусные настойки и коктейли, огромный выбор настоек, так же вкусная кухня",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Софья ‘,2025-04-30,5,"отличное место!
бармены просто боги, официанты лучшие!!!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Городской житель,2025-04-25,5,Очень вкусное место!!!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Alexandra Kremer,2025-04-21,5,"Отлично место, с вкусными настойками!
Приветливый персонал. Атмосфера топ",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Apple User,2025-04-21,5,"Супер классное место, одно из лучших в Перми
Супер большой выбор настоек и алкоголя",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Во Ва,2025-04-21,5,"Очень классное , атмосферное место , провести досуг с друзьями , покайфовать",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Алексей Стариков,2025-04-19,5,"Классное место. Даже если ты один, тут можно хорошо посидеть выпить, морально отдохнуть.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Городской житель,2025-04-17,5,Наипрекраснейший бар из всех баров!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Степан Якубович,2025-04-12,5,"Замечательное заведение! очень часто тут бываю, хочу уже прописаться здесь, музыка отличная, персонал очень хороший и общительный!❤️",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анастасия Мягкова,2025-04-10,5,"Если вы сомневайтесь посетить данное заведение, то у меня к вам много вопросов.…
Это просто лучшее заведение в Перми, да и вообще в мире
Самый лучший и приветливый персонал, суперская кухня, сервис просто на высоте!
Вам грустно? - в Парадную!
Вам весело? - в Парадную!
Вам скучно? - в Парадную!
Вам некуда идти? - как это? в Парадную!
Вкусно накормят, вкусно напоят(главное уйти на своих ногах, но от сюда это сделать сложно , ты просто не можешь остановиться пить это наипрекрайснишее настойки..…)",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анастасия Андриенко,2025-04-05,5,"Атмосферное место, настойки вкусные",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анастасия Старкова,2025-04-03,5,офигенно тут,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Александра Сажина,2025-04-03,5,Крутое заведение обожаю его супер крутое,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Евгений Ильин,2025-04-03,5,"Прекрасное место, всем советую",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Яков Гольдберг,2025-04-03,5,Отличное место!!! каждый раз в Перми-сразу туда! персонал-огонь. Спасибо вам большое !,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Иван Сергеев,2025-04-03,5,"В заведении чисто и комфортно, уютная атмосфера, вежливый персонал, вкусные напитки и десерты",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Константин Глазов,2025-04-03,5,"Отличное место! Бармен Антон просто лучший!!!
Настойки великолепные, закуски не отстают от их уровня.
Всем советую хоть раз тут побывать!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Андрей Панкратов,2025-04-03,5,"Атмосфера хорошая
Бармен крут",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Данил Казанцев,2025-04-03,5,"Вкусные настойки , приятный персонал",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Denis Ketov_sky,2025-03-03,5,"Красиво, антуражно, на разок можно сходить",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елизавета Едранова,2025-02-22,5,"Любимое место в городе!
Самые вкусные настойки и самый отзывчивый персонал❤️",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Дарья Соколова,2025-02-22,5,"Лучшее заведение Перми! Очень вкусные настойки и бутерброды! Всегда позитивная атмосфера, веселые бармены и кайфовая музыка!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Никита Спехов,2025-02-22,5,"Все отлично , все вкусно",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Никита Баталов,2025-02-21,1,Новая политика… вход только с 21 года. В -30 просто выгнали на улицу. 20лет - входа нет. Имейте в виду. Клиентоориентированность на нуле,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анна Куликова,2025-02-21,5,"Красивое, интересное заведение . Очень вкусные, разнообразные настойки . Особенно понравилась облепиховая .",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Ольга Смирнова,2025-02-20,5,"Отлично место для отдыха! Ходим регулярно. Нравится атмосфера, настойки, закуски. Официанты- классные ребята!
Желаем процветания! Ураа!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Максим Суранов,2025-02-19,5,"Лучшее место, настойки вкусные, еда вкусная, персонал вкусный 😋",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-02-18,5,"Ваще классно
Мальчишки довольны
Пиво дрим Тим кайф люблю пить его
Девчонки офики крутые!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2025-02-14,5,Ну они!!!!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Александра Обухова,2025-02-03,5,"Одно из любимых заведений 😍
Очень классная атмосфера и вкусные настойки",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Санечка Заякина,2025-02-02,5,"Ходила уже миллион раз, только дошли руки написать отзыв. Ребята🔥 настойки, закуски, да вообще все круто",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елена Вербовская,2025-01-23,5,"Воу, это же просто ох*енно, откуда вы только взялись, шизоиды. Я теперь ваш фанат.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Алиса Щербатюк,2025-01-10,5,"Все красиво, атмосфера, но очень мало место и не очень дёшево, вкусные наливки настойки,но интересное место",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Глеб Павлецов,2025-01-09,5,Приятное заведение и хорошие напитки,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Марина Сахапова-Панарина,2025-01-04,5,"Крутое заведение!!! Атмосфера, Официанты С Большой буквы! И наливают воду!!! Это круто!!! Классное заведение!!!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Ирина Тиунова,2025-01-04,5,"Шикарное место. Эстетика, отдых, уют, атмосфера. Бармен Егор - изюминка места, профессионал своего дела! Прекрасно с мужем провели время.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,SpeedFunny Kosovskikh,2024-12-21,5,"Отличные настойки, вкусные бутеры с паштетом, красивые бармены, рекомендую, вернусь ещё!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Нелли Шафигуллина,2024-12-18,4,"Самые лучшие бармены! Вайб, музыка. Алексей, лучший Бармен🤍",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елена Л,2024-12-17,5,"Очень приятное место, настойки вкусные, бармен Андрей и менеджер Матвей огонь! Чисто и приятно!!!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2024-12-08,2,Спасибо!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Ваник Сарибекян,2024-11-29,5,Банановая настойка топ!!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2024-11-26,5,"Лера лучшая!! от сережки и алисы, сори деняк нет ахаэа",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Никита Первяков,2024-11-05,5,"Настойки супер, обслуживание норм, атмосфера огонь, кстати костюм у официантки был жёлтого цвета😁😁😁",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2024-10-10,5,"Отличное обслуживание, Андрей топ официант, респект заведению и мы счастливы!!!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Elena Palmer,2024-09-13,5,Атмосферное место. Вкусные шоты. Приятное обслуживание.,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Сергей Третьяков,2024-08-28,5,Офигенная команда. Всё вкусно. Отличная рюмка в самом центре города,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Юлия Макарова,2024-08-16,5,"Вкусно ! Пьяно сыто , кайф вообщем",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Екатерина Швецова,2024-07-30,5,"Персонал заслуживает отдельной похвалы, ради такого обслуживания хочется возвращаться вновь) Еда напитки всё прекрасно, спасибо.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2024-07-17,5,Шикарное место. Пермь вся тут.,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Городская легенда,2024-07-14,5,"Отличное место, поболтать и расслабиться, вкусная закуска 👍🏻",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анастасия Гилева,2024-07-10,5,"Прекрасное место, крутой персонал !",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Nadine T,2024-07-02,5,"Были в том году, с подругами. Всё понравилось!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Леонид Тернавский,2024-06-24,5,Отличное место!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Дмитрий Шулятьев,2024-06-23,5,"Уютное местечко, много разновидностей настоек.",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Ginger Honey,2024-06-21,5,"Отличная атмосфера, вкусные и необычные настойки. Бармены красавчики и юмористы. Открыла для себя это заведение и буду постоянным гостем )",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Дмитрий Чернов,2024-06-15,5,"Супер настойки, обслуживание на высоте, заходите кайфанете)",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Anna Anna,2024-06-15,5,Классное атмосферное место с очень хорошим обслуживанием и вкусными напитками. Обязательно к посещению,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Стёпа Хошхоев,2024-05-23,5,"Отличное место, хорошие шоты) отдельное спасибо Андрею",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Анна А,2024-05-22,5,"Крутое заведение! Очень большой выбор настоек, необычно и вкусно 🥃",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елена Вавилина,2024-05-22,5,Классное место! Атмосферно и весело!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Илья Кикирев,2024-05-18,5,Очень приятное место советую сюда прийти всём😊😊☺☺😊😊☺☺😃😃😃😃,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Elizaveta Grekhova,2024-05-05,5,Классные настойки! Персонал отлично знает свое дело!,,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Александр,2024-04-25,5,"Отличное атмосферное место, и настойки вкусные. Настойка которая мне нравиться почему-то считают ругательством ))))",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Гость от «нетмонет»,2024-04-22,5,"Все супер, спасибо за вечер!))",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Елизавета Шафранова,2024-04-13,5,"Андрей, Антон и Егор восхитительные бармены
!!!!!!",,,2GIS,2gis-ryumochnaya.html
Парадная,Ryumochnaya Paradnaya,Лана Яткина,2024-04-13,5,"Лучшее место, лучшие бармены,!!!!!!! Невероятно провели время!!!! Андрей, Антон, Егор просто невероятные бармены!!!!!!!!❤️❤️❤️",,,2GIS,2gis-ryumochnaya.html
